Model,Category,Retail($),Dealer($),Engine(L),Cylinders,Horsepower,CityMPG,HighwayMPG,Weight(lb),Wheelbase(in),Length(in),Width(in)
Toyota Camry LE,sedan,19560,17558,2.4,4,157,24,33,3086,107,189,71
Toyota Camry LE V6,sedan,22775,20325,3.0,6,210,21,29,3296,107,189,71
Toyota Camry XLE V6,sedan,25920,23125,3.0,6,210,21,29,3362,107,189,71
Toyota Camry Solara SE,sedan,19635,17722,2.4,4,157,24,33,3175,107,193,72
Toyota Camry Solara SE V6,sedan,21965,19819,3.3,6,225,20,29,3417,107,193,72
Toyota Camry Solara SLE V6 two-door,sedan,26510,23908,3.3,6,225,20,29,3439,107,193,72
Toyota Celica,sports,22570,20363,1.8,4,180,24,33,2500,102,171,68
Toyota Corolla CE,sedan,14085,13065,1.8,4,130,32,40,2502,102,178,67
Toyota Corolla S,sedan,15030,13650,1.8,4,130,32,40,2524,102,178,67
Toyota Corolla LE,sedan,15295,13889,1.8,4,130,32,40,2524,102,178,67
Toyota Echo two-door manual,sedan,10760,10144,1.5,4,108,35,43,2035,93,163,65
Toyota Echo two-door auto,sedan,11560,10896,1.5,4,108,33,39,2085,93,163,65
Toyota Echo four-door,sedan,11290,10642,1.5,4,108,35,43,2055,93,163,65
Toyota Highlander V6,suv,27930,24915,3.3,6,230,18,24,3935,107,185,72
Toyota Land Cruiser,suv,54765,47986,4.7,8,325,13,17,5390,112,193,76
Toyota Matrix,wagon,16695,15156,1.8,4,130,29,36,2679,102,171,70
Toyota MR2 Spyder,sports,25130,22787,1.8,4,138,26,32,2195,97,153,67
Toyota Prius,sedan,20510,18926,1.5,4,110,59,51,2890,106,175,68
Toyota RAV4,suv,20290,18553,2.4,4,161,22,27,3119,98,167,68
Toyota Sienna CE,minivan,23495,21198,3.3,6,230,19,27,4120,119,200,77
Toyota Sienna XLE,minivan,28800,25690,3.3,6,230,19,27,4165,119,200,77
Volkswagen Golf,sedan,18715,17478,2.0,4,115,24,31,2897,99,165,68
Volkswagen GTI,sedan,19825,18109,1.8,4,180,24,31,2934,99,168,68
Volkswagen Jetta GL,wagon,19005,17427,2.0,4,115,24,30,3034,99,174,68
Volkswagen Jetta GLI,sedan,23785,21686,2.8,6,200,21,30,3179,99,172,68
Volkswagen Jetta GLS,sedan,21055,19638,1.9,4,100,38,46,3003,99,172,68
Volkswagen New Beetle GLS 1.8T,sedan,21055,19638,1.8,4,150,24,31,2820,99,161,68
Volkswagen New Beetle GLS convertible,sedan,23215,21689,2.0,4,115,24,30,3082,99,161,68
Volkswagen Passat GLS,wagon,24955,22801,1.8,4,170,22,31,3338,106,184,69
Volkswagen Passat GLS four-door,sedan,23955,21898,1.8,4,170,22,31,3241,106,185,69
Volkswagen Passat GLX V6 4MOTION four-door,sedan,33180,30583,2.8,6,190,19,26,3721,106,185,69
Volkswagen Passat W8,wagon,40235,36956,4.0,8,270,18,25,4067,106,184,69
Volkswagen Passat W8 4MOTION,sedan,39235,36052,4.0,8,270,18,25,3953,106,185,69
Volkswagen Touareg V6,suv,35515,32243,3.2,6,220,15,20,5086,112,187,76
Volvo C70 LPT,sedan,40565,38203,2.4,5,197,21,28,3450,105,186,72
Volvo C70 HPT,sedan,42565,40083,2.3,5,242,20,26,3450,105,186,72
Volvo S40,sedan,25135,23701,1.9,4,170,22,29,2767,101,178,68
Volvo S60 2.5,sedan,31745,29916,2.5,5,208,20,27,3903,107,180,71
Volvo S60 R,sedan,37560,35382,2.5,5,300,18,25,3571,107,181,71
Volvo S80 2.5T,sedan,37885,35688,2.5,5,194,20,27,3691,110,190,72
Volvo S80 2.9,sedan,37730,35542,2.9,6,208,20,28,3576,110,190,72
Volvo S80 T6,sedan,45210,42573,2.9,6,268,19,26,3653,110,190,72
Volvo V40,wagon,26135,24641,1.9,4,170,22,29,2822,101,180,68
Volvo XC70,wagon,35145,33112,2.5,5,208,20,27,3823,109,186,73
Volvo XC90 T6,suv,41250,38851,2.9,6,268,15,20,4638,113,189,75
